Infected_strain_1,Infected_strain_2,Susceptible,Vaccinated,Recovered_strain_1,Recovered_strain_2
15,0,2985,0,0,0
59,0,2941,0,1,0
134,0,2866,0,4,0
268,0,2732,0,6,0
479,0,2521,0,5,0
689,0,2311,0,17,0
914,0,2086,0,21,0
1202,0,1798,0,29,0
1465,0,1535,0,35,0
1663,0,1319,70,38,0
1824,0,1135,114,77,0
1951,0,980,156,109,0
2082,0,824,202,132,0
2183,0,695,287,159,0
2219,0,613,312,221,0
2285,0,515,387,258,0
2319,0,435,468,297,0
2294,0,379,573,380,0
2320,0,315,632,412,0
2313,8,259,655,465,0
2317,10,214,738,503,1
2290,11,185,771,574,0
2304,13,136,849,601,0
2272,14,130,871,652,1
2241,15,118,951,699,2
2234,15,96,997,716,5
2183,20,117,1032,769,5
2145,21,116,1115,811,7
2129,23,100,1136,827,7
2111,25,99,1181,848,9
2068,31,109,1254,891,12
2039,34,107,1306,924,13
2007,37,104,1393,957,14
2000,40,92,1425,965,16
1984,41,91,1465,982,18
1941,46,96,1538,1025,17
1910,56,100,1551,1056,18
1912,70,80,1568,1055,18
1903,77,84,1602,1067,21
1882,95,96,1615,1088,22
1902,112,108,1595,1068,26
1891,130,110,1652,1082,33
1846,152,119,1677,1129,32
1821,179,127,1667,1157,37
1797,194,148,1671,1181,38
1769,218,144,1734,1211,42
1741,234,150,1711,1239,57
1710,259,168,1642,1273,66
1677,269,213,1554,1308,81
1678,305,214,1540,1307,85
