Infected_strain_1,Infected_strain_2,Susceptible,Vaccinated,Recovered_strain_1,Recovered_strain_2
15,0,2985,0,0,0
70,0,2930,0,1,0
200,0,2800,0,1,0
370,0,2630,0,5,0
623,0,2377,0,8,0
911,0,2089,0,19,0
1233,0,1767,0,27,0
1643,0,1357,0,30,0
1955,0,1045,0,50,0
2185,0,800,93,66,0
2352,0,614,125,92,0
2473,0,459,185,140,0
2544,0,352,215,171,0
2587,0,271,311,205,0
2572,0,231,377,267,0
2567,0,196,452,316,0
2532,1,181,558,377,0
2490,1,164,624,456,0
2469,1,122,679,498,0
2425,2,118,729,549,0
2383,5,114,810,597,0
2330,5,113,870,652,0
2304,6,99,930,678,0
2241,7,111,969,742,1
2200,8,115,998,783,1
2181,9,117,1022,804,2
2158,11,108,1087,827,2
2112,10,127,1114,873,3
2119,8,120,1199,867,5
2082,10,120,1237,904,5
2056,10,118,1292,930,7
2045,12,100,1323,943,7
2024,10,106,1368,964,9
2019,10,104,1424,970,10
1976,17,103,1517,1013,9
1939,17,97,1614,1050,10
1907,17,102,1647,1082,10
1888,19,91,1703,1101,11
1838,20,98,1740,1152,11
1840,23,79,1790,1151,10
1821,27,114,1774,1170,9
1790,28,122,1834,1202,12
1750,30,166,1803,1243,13
1739,32,152,1849,1255,14
1708,34,168,1817,1286,16
1696,42,183,1801,1298,13
1692,44,192,1774,1302,16
1697,48,210,1715,1297,17
1687,49,237,1669,1307,19
1714,52,215,1639,1280,19
